peptide,1,2,3,4,5
CPRP,3140.66,1570.84,1047.56,785.92,628.94
CPRP,3149.65,1575.33,1050.56,788.17,630.74
CPRP,3150.64,1575.82,1050.88,788.41,630.93
CPRP,3157.69,1579.35,1053.24,790.18,632.34
CPRP,3167.66,1584.34,1056.56,792.67,634.34
CPRP,3167.67,1584.34,1056.56,792.67,634.34
CPRP,3168.66,1584.83,1056.89,792.92,634.54
CPRP,3185.68,1593.35,1062.57,797.18,637.94
CPRP,3206.67,1603.84,1069.56,802.42,642.14
CPRP,3207.66,1604.33,1069.89,802.67,642.34
CPRP,3224.68,1612.85,1075.57,806.93,645.74
CPRP,3241.71,1621.36,1081.24,811.18,649.15
CPRP,3258.74,1629.87,1086.92,815.44,652.55
CPRP,3268.72,1634.86,1090.25,817.94,654.55
CPRP,3269.71,1635.36,1090.57,818.18,654.75
CPRP,3286.73,1643.87,1096.25,822.44,658.15
CPRP,3298.73,1649.87,1100.25,825.44,660.55
CPRP,3315.76,1658.38,1105.92,829.7,663.96
CPRP,3319.76,1660.38,1107.26,830.7,664.76
CPRP,3320.74,1660.87,1107.59,830.94,664.95
CPRP,3325.74,1663.38,1109.25,832.19,665.95
CPRP,3326.73,1663.87,1109.58,832.44,666.15
CPRP,3337.77,1669.39,1113.26,835.2,668.36
CPRP,3343.75,1672.38,1115.26,836.69,669.56
CPRP,3376.78,1688.89,1126.27,844.95,676.16
CPRP,3377.76,1689.39,1126.59,845.2,676.36
CPRP,3394.79,1697.9,1132.27,849.45,679.76
CPRP,3435.79,1718.4,1145.94,859.7,687.96
CPRP,3452.82,1726.91,1151.61,863.96,691.37
CPRP,3462.8,1731.91,1154.94,866.46,693.37
CPRP,3463.79,1732.4,1155.27,866.7,693.56
CPRP,3480.81,1740.91,1160.94,870.96,696.97
CPRP,3505.82,1753.41,1169.28,877.21,701.97
CPRP,3506.81,1753.91,1169.61,877.46,702.17
CPRP,3523.83,1762.42,1175.28,881.71,705.57
CPRP,3532.84,1766.93,1178.29,883.97,707.38
CPRP,3549.87,1775.44,1183.96,888.22,710.78
CPRP,3559.86,1780.43,1187.29,890.72,712.78
CPRP,3560.84,1780.92,1187.62,890.97,712.97
CPRP,3576.86,1788.93,1192.96,894.97,716.18
CPRP,3577.84,1789.43,1193.29,895.22,716.37
CPRP,3577.87,1789.44,1193.29,895.22,716.38
CPRP,3594.87,1797.94,1198.96,899.47,719.78
CPRP,3595.88,1798.44,1199.3,899.72,719.98
CPRP,3645.93,1823.47,1215.98,912.24,729.99
CPRP,3662.95,1831.98,1221.66,916.49,733.4
CPRP,3663.89,1832.45,1221.97,916.73,733.58
CPRP,3664.88,1832.94,1222.3,916.97,733.78
CPRP,3672.94,1836.97,1224.98,918.99,735.39
CPRP,3673.92,1837.47,1225.31,919.24,735.59
CPRP,3681.9,1841.45,1227.97,921.23,737.19
CPRP,3690.95,1845.98,1230.99,923.49,739
CPRP,3708.96,1854.98,1236.99,928,742.6
CPRP,3819.99,1910.5,1274,955.75,764.8
CPRP,3820.98,1910.99,1274.33,956,765
CPRP,3838,1919.51,1280.01,960.26,768.41
CPRP,929.46,465.24,310.49,233.12,186.7
CPRP,946.49,473.75,316.17,237.38,190.1
CPRP,956.47,478.74,319.5,239.87,192.1
CPRP,957.46,479.23,319.82,240.12,192.3
CPRP,974.48,487.75,325.5,244.38,195.7
CPRP,986.48,493.75,329.5,247.38,198.1
CPRP,1003.51,502.26,335.18,251.63,201.51
CPRP,1013.49,507.25,338.5,254.13,203.51
CPRP,1014.48,507.74,338.83,254.38,203.7
CPRP,1031.51,516.26,344.51,258.63,207.11
CPRP,1142.58,571.8,381.53,286.4,229.32
CPRP,1159.61,580.31,387.21,290.66,232.73
CPRP,1169.6,585.3,390.54,293.15,234.73
CPRP,1170.58,585.79,390.87,293.4,234.92
CPRP,1187.61,594.31,396.54,297.66,238.33
CPRP,1255.67,628.34,419.23,314.67,251.94
CPRP,1272.7,636.85,424.9,318.93,255.35
CPRP,1282.68,641.84,428.23,321.43,257.34
CPRP,1283.66,642.34,428.56,321.67,257.54
