Species,1,2,3,4,5
CPRP,3679.8861,,,,
CPRP,3680.8701,,,,
CPRP,3688.934,,,,
CPRP,3689.918,,,,
CPRP,3697.8966,,,,
CPRP,3706.9446,,,,
CPRP,3724.9552,,,,
CPRP,3835.9872,,,,
CPRP,3836.9712,,,,
CPRP,3853.9977,,,,
SG-CHH-pyro-Q,84.0444,,,,
SG-CHH-pyro-Q,87.0553,,,,
SG-CHH-pyro-Q,101.0709,,,,
SG-CHH-pyro-Q,117.1022,,,,
SG-CHH-pyro-Q,129.0659,,,,
SG-CHH-pyro-Q,136.0757,,,,
SG-CHH-pyro-Q,180.1019,,,,
SG-CHH-pyro-Q,197.1285,,,,
SG-CHH-pyro-Q,208.0968,,,,
SG-CHH-pyro-Q,216.1707,,,,
SG-CHH-pyro-Q,225.1234,,,,
SG-CHH-pyro-Q,327.2027,,,,
SG-CHH-pyro-Q,343.1652,,,,
SG-CHH-pyro-Q,344.2292,,,,
SG-CHH-pyro-Q,360.1918,,,,
SG-CHH-pyro-Q,371.1601,,,,
SG-CHH-pyro-Q,388.1867,,,,
SG-CHH-pyro-Q,440.2867,,,,
SG-CHH-pyro-Q,457.3133,,,,
SG-CHH-pyro-Q,458.1922,,,,
SG-CHH-pyro-Q,475.2187,,,,
SG-CHH-pyro-Q,485.2031,,,,
SG-CHH-pyro-Q,486.1871,,,,
SG-CHH-pyro-Q,503.2136,,,,
SG-CHH-pyro-Q,545.2242,,,,
SG-CHH-pyro-Q,562.2508,,,,
SG-CHH-pyro-Q,568.3817,,,,
SG-CHH-pyro-Q,572.2351,,,,
SG-CHH-pyro-Q,573.2191,,,,
SG-CHH-pyro-Q,585.4083,,,,
SG-CHH-pyro-Q,590.2457,,,,
SG-CHH-pyro-Q,632.2562,,,,
SG-CHH-pyro-Q,649.2828,,,,
SG-CHH-pyro-Q,659.2671,,,,
SG-CHH-pyro-Q,660.2511,,,,
SG-CHH-pyro-Q,677.2777,,,,
SG-CHH-pyro-Q,724.4828,,,,
SG-CHH-pyro-Q,735.2654,,,,
SG-CHH-pyro-Q,741.5094,,,,
SG-CHH-pyro-Q,752.292,,,,
SG-CHH-pyro-Q,762.2763,,,,
SG-CHH-pyro-Q,763.2603,,,,
SG-CHH-pyro-Q,780.2869,,,,
SG-CHH-pyro-Q,795.5199,,,,
SG-CHH-pyro-Q,812.5465,,,,
SG-CHH-pyro-Q,863.3604,,,,
SG-CHH-pyro-Q,880.3869,,,,
SG-CHH-pyro-Q,890.3713,,,,
SG-CHH-pyro-Q,891.3553,,,,
SG-CHH-pyro-Q,908.3818,,,,
SG-CHH-pyro-Q,920.3818,,,,
SG-CHH-pyro-Q,937.4084,,,,
SG-CHH-pyro-Q,947.3927,,,,
SG-CHH-pyro-Q,948.3768,,,,
SG-CHH-pyro-Q,958.5833,,,,
SG-CHH-pyro-Q,965.4033,,,,
SG-CHH-pyro-Q,975.6098,,,,
SG-CHH-pyro-Q,1019.4503,,,,
SG-CHH-pyro-Q,1036.4768,,,,
SG-CHH-pyro-Q,1046.4612,,,,
SG-CHH-pyro-Q,1047.4452,,,,
SG-CHH-pyro-Q,1064.4717,,,,
SG-CHH-pyro-Q,1086.6418,,,,
SG-CHH-pyro-Q,1087.6259,,,,
SG-CHH-pyro-Q,1104.6524,,,,
SG-CHH-pyro-Q,1182.5136,,,,
SG-CHH-pyro-Q,1199.5401,,,,
SG-CHH-pyro-Q,1209.5245,,,,
SG-CHH-pyro-Q,1210.5085,,,,
SG-CHH-pyro-Q,1215.6844,,,,
SG-CHH-pyro-Q,1216.6684,,,,
SG-CHH-pyro-Q,1227.5351,,,,
SG-CHH-pyro-Q,1233.695,,,,
SG-CHH-pyro-Q,1297.5405,,,,
SG-CHH-pyro-Q,1314.5671,,,,
SG-CHH-pyro-Q,1324.5514,,,,
SG-CHH-pyro-Q,1325.5354,,,,
SG-CHH-pyro-Q,1342.562,,,,
SG-CHH-pyro-Q,1362.7528,,,,
SG-CHH-pyro-Q,1363.7369,,,,
SG-CHH-pyro-Q,1380.7634,,,,
SG-CHH-pyro-Q,1453.6416,,,,
SG-CHH-pyro-Q,1470.6682,,,,
SG-CHH-pyro-Q,1476.7958,,,,
SG-CHH-pyro-Q,1477.7798,,,,
SG-CHH-pyro-Q,1480.6525,,,,
SG-CHH-pyro-Q,1481.6366,,,,
SG-CHH-pyro-Q,1494.8063,,,,
